index,expression
0,"(-30.0**(Kurt(high,20)**0.5))"
1,(Log((2.0/close))-1.0)
2,"((S_log1p(Ir(Med(Mean((5.0*volume),5),5),30))/vwap)-2.0)"
3,"Med(open,1)"
4,Inv(((-1.0-open)**2.0))
5,"Ema(Wma((Std(((Ir((-0.5**high),30)+(vwap/Log(low)))+-2.0),5)*-0.01),1),30)"
6,"(-1.0*(Sum(high,30)*-2.0))"
7,"Std(Delta((close+2.0),20),20)"
8,"Std(Sum(((Var(S_log1p((volume**(high/-2.0))),1)+((high--10.0)/-2.0))/0.01),30),20)"
9,"(((Ir(Ema(Abs(Abs((10.0-((Abs(low)**-0.01)**2.0)))),1),30)**-1.0)*2.0)-2.0)"
10,"(Abs(Max(((Abs(S_log1p(Ref(((-5.0/(high**-5.0))**-5.0),20)))+-10.0)/-10.0),40))*-10.0)"
11,"Var(Std(Abs(Abs((Wma(vwap,40)/close))),50),10)"
12,"(Ir(Log(Inv(Ref((high**5.0),40))),20)/(-0.01**((Log(volume)**Wma(volume,40))*10.0)))"
13,"Cov(Cov((Mean(((5.0+open)*0.01),50)**(-0.5/Pctchange(S_log1p(volume),20))),close,50),high,5)"
14,"Skew(((low/(-1.0*open))*(2.0*Ref(low,30))),20)"
15,"(-1.0/(((Mean(Inv((S_log1p(close)*2.0)),40)*-5.0)+-1.0)/Ref(close,40)))"
16,"Delta(Ema(((Delta((1.0-Skew(Log(ts_div(high,5)),40)),30)**(volume+0.01))/0.01),30),1)"
17,"(Max(S_log1p(ts_div((S_log1p(open)/-5.0),10)),40)*-10.0)"
18,"(Sum(Ref((Inv(high)/-2.0),40),50)-Max((Ref(Med((0.01-close),20),40)*-5.0),20))"
19,"Sum(Abs(Ir(Delta(Med((vwap+0.01),50),20),20)),30)"
20,"(((-0.01-(((Med(Wma((S_log1p(high)--0.5),1),50)*-0.5)/10.0)**-0.01))*10.0)--10.0)"
21,"((Delta(Pctchange(low,5),1)*Sum((1.0+Max(high,50)),10))--0.01)"
22,"Std(Skew(Kurt(Mad((S_log1p(Med(ts_div((Wma(open,50)--2.0),30),20))--1.0),30),1),30),10)"
23,"Log(Abs((ts_div((-1.0-Max((high+open),20)),20)+((Wma(volume,30)*S_log1p(vwap))-2.0))))"
24,"Log(Max(ts_div(Inv((Med(Log((Mean(close,40)/Mean((low+2.0),1))),5)*-30.0)),20),30))"
25,"((Kurt(Min(Med(S_log1p(((((open**-2.0)/-10.0)+open)/1.0)),1),30),20)**-2.0)+-0.01)"
26,"Std(((-5.0-Skew(Mean(S_log1p(((Mad(Ref(high,50),40)/0.5)**-2.0)),20),1))*-10.0),10)"
27,"Med(Med(Wma((close/close),1),50),1)"
28,"Mad(Var(Log(((10.0**volume)**open)),10),5)"
29,"Wma((((Med(open,40)**Skew((-10.0/S_log1p(((close**-0.5)-0.5))),40))**-0.01)+0.01),5)"
30,"(Med(low,20)**Ema(Inv(Med(Inv((high/1.0)),1)),50))"
31,(vwap-(Log(((-30.0**open)--2.0))-2.0))
32,"(Kurt((Inv(Log(Delta(Inv((Inv(volume)/-5.0)),1)))*-5.0),40)**2.0)"
33,"(Med(Pctchange(low,10),30)**-0.5)"
34,"(((Sum(volume,50)**5.0)*10.0)/Wma(Var((Std((10.0+Log(open)),50)/-30.0),50),10))"
35,"Kurt(Min(Abs(Max(((Std((5.0-(low*-30.0)),5)*-10.0)*(close*low)),10)),1),40)"
36,"(Mad(Abs(low),5)**low)"
37,"Mad((Sum((((low**Log(Var(high,10)))*(Ref(high,10)**-1.0))/30.0),20)/5.0),50)"
38,"Pctchange((S_log1p(volume)+-2.0),40)"
39,"Cov(((Wma(Max(Ref(Wma(Abs(vwap),50),50),10),5)--2.0)/-10.0),(Log(volume)/0.5),50)"
40,"S_log1p((((Abs((Ref(low,50)*-0.5))--30.0)*(Ref(Abs(close),30)**0.5))*(-10.0**close)))"
41,"Ref((Corr((vwap*(open+-30.0)),volume,1)**2.0),30)"
42,"Var(S_log1p(((close--1.0)*5.0)),1)"
43,"(Abs(low)**ts_div(Var((-1.0/open),20),20))"
